,state,x,y
0,Illinois,95,37
1,Kentucky,149,1
2,Louisiana,59,-114
3,Massachusetts,312,112
4,Michigan,148,101
5,Minnesota,23,135
6,Mississippi,94,-78
7,Missouri,49,6
8,Montana,-141,150
9,Nebraska,-61,66
10,Nevada,-257,56
11,New Hampshire,302,127
12,New Mexico,-128,-43
13,North Carolina,239,-22
14,North Dakota,-44,158
15,Oklahoma,-8,-41
16,Oregon,-278,138
17,Pennsylvania,238,72
18,Rhode Island,318,94
19,South Carolina,218,-51
20,South Dakota,-44,109
21,Tennessee,131,-34
22,Texas,-38,-106
23,Utah,-189,34
24,Vermont,282,154
25,Virginia,234,12
26,Washington,-257,193
27,West Virginia,200,20
28,Wisconsin,83,113
29,Wyoming,-134,90
